ID,CreatedAt,Title,Excerpt
235803250,2021-04-19T14:01:25.818Z,咖啡色長夾遺失！！,轉發：有看到的話，麻煩聯絡一下喔！！！感恩
235803134,2021-04-19T13:47:43.156Z,麻煩大家幫忙了,
235802490,2021-04-19T12:24:31.054Z,智慧創新跨域人才培育聯盟計畫,不曉得各位有沒有想過，在未來不久，看不懂程式語言會變成文盲。根據國高中107必修將納入「程式設計」就是一個顯着的例子。人們一窩蜂的跑去考資工所，可能也為了薪水，對自己現狀的不滿意，加上資工熱門科系，學
235801035,2021-04-19T08:44:02.022Z,斷三小,據德網路是在哭喔 一直斷一直爽欸，還有等個電梯等20分鐘 不嘴一下真的不行欸，還好今天股票爆賺不然我早把房間砸了
235800312,2021-04-19T06:51:12.555Z,📢【遊戲問卷｜抽全家200元禮券*50】,大家好～我們是企管所的研究生，希望有玩過線上遊戲的同學～來幫忙填個學術問卷，問卷題目主要探討「線上遊戲使用者對遊戲使用經驗及感受」路過的帥哥美女歡迎不吝嗇的幫我轉發給任何玩過線上遊戲的朋友們，謝謝大家
235800255,2021-04-19T06:40:19.202Z,我就好奇,為什麼那麼常看到柏智跟舜謙⋯，兩位到底何方神聖，可以請人回答一下嗎？
235799368,2021-04-19T04:10:18.473Z,#遺失物 橘色25孔資料夾,最後一次看到大概是3／29，E0101教室（ノДＴ），可能出沒地點應該就只有工院及管院，不知道有沒有人看到呢？我所有的考試筆記都在裡面（இωஇ ）
235798989,2021-04-19T02:58:04.304Z,宿網不能看片,如題，雖然是蠻久的事了，但還是問一下在校的各位大神，有沒有一些學校沒限制到的網站能看，感恩啦，幫室友謀福利，以下是祭品
235797280,2021-04-18T16:20:40.331Z,鹹酥雞店,為我們逝去的好店默哀三分鐘，阿彌陀佛阿彌陀佛
235794517,2021-04-18T10:39:30.463Z,好奇 圖書館逼萬男子身分,如題，已經連續兩個禮拜，（之前也見過 但不確定每個禮拜都來），都會在圖書館B1自習室外面看到一位中年男子在教一個很像高中生的男生課業，是父子嗎？怎麼聽起來很像家教？中年男子總會越講越激動，坐在最斜對角
235792094,2021-04-18T03:22:59.238Z,誰的寶貝,如圖，銀色車罩，誰的機車要沒衣服穿了，往二醫漂泊當中
235785318,2021-04-17T01:59:18.037Z,熱音週,吃牛角牛歡喜，吃牛角牛歡喜，吃牛角牛歡喜，點進去留言+預購就對了
235784336,2021-04-16T17:45:42.645Z,遺失 欸怕 破 右耳,昨天在機車停車場，充電盒不小心掉在地板，沒注意到耳機滑出來，有拿到的朋友在下面跟我說好嗎！
235780801,2021-04-16T09:04:04.005Z,學測面試,最近很多未來的學弟妹來面試了，大家看到可不可以幫忙提醒一下他們，吃完學餐記得分類r
235779922,2021-04-16T06:48:06.629Z,神人,有誰能教教他
235779019,2021-04-16T04:20:05.262Z,靠減重賺取被動式收入💰,【8th x健康促進x宣傳時間】又到了久違的校園健康促進時間！！，在長庚這個稍微偏鄉的山區校園中，千載難逢的舉辦了一個健康促進的活動，花少少的時間就可以得到大大的獎勵🤤，賺進荷包又賺進健康 人財兩得啊
235778766,2021-04-16T03:33:38.474Z,水痘,各位水痘猴子還好嗎？記得勤洗手 好好待在宿舍或者是家裡，不要出來散播ㄋㄟ
235778554,2021-04-16T02:51:53.088Z,長庚素質？,不廢話 直接上圖，昨天早上在M0303的座位上拍到的，而且還是同個位子！，禮拜三在教室爽吃爽喝後不丟垃圾的長庚猴自己注意一下  請不要因為你不成熟的舉動給下一位使用者帶來困擾 凸
235777094,2021-04-15T17:03:30.998Z,遺失鞋子,請問有沒有人 4/13星期二下午在薄膜球場，撿到一個黑色鞋袋 號碼是35號，裡面一雙藍色的鞋子，有看到的拜託讓我知道
235776266,2021-04-15T15:15:23.566Z,操場唱歌的,現在在操場上興奮唱歌的那一群人，你們唱的很久了，也聽到你們說唱累了，那就別唱了吧，謝謝
235775968,2021-04-15T14:38:08.111Z,請益 醫管系準備,各位學長姐好～我是今年的醫管系新生！，想請問一下學長姐們在上大學前這段時間建議能做些什麼準備呢QQ像是推薦的醫管相關書籍之類的～很怕自己開學會跟不上進度，之前爬文有看到學長姐說能先考多益 我考800分
235774882,2021-04-15T12:03:02.090Z,萊爾富前面的鹹酥雞,吃過院區那麼多家鹹酥雞後，覺得還是這家最讚～在林口社團看到消息它遷址了，之後會在華潮的對面喔（（（o（*ﾟ▽ﾟ*）o）））
235773295,2021-04-15T07:56:38.949Z,實驗受測者,【招募風上肢合併鏡像回饋與機器輔助訓練之大腦肌肉運作及功能性連結研究的受試者】試驗主題：中風上肢合併鏡像回饋與機器輔助訓練之大腦肌肉運作及功能性連結研究，試驗簡介：為研究機械輔助運動及合併鏡像回饋與機
235772860,2021-04-15T06:40:10.536Z,本週攝影學柯老師不上課,如題 老師身體不適 請假嘍 不要白跑嘍
235771928,2021-04-15T04:15:06.507Z,希望學長姐們能不要再進入專四做作業了,如題，希望學長姐們能不要再進入專四做作業了，如果是因老師教學需要而使用專四也就算了，但已經跟系主任確認過，專四是大一的工作室，不是隨意開放的一間空教室，既然我們不會去學長姐的工作室做作品，也希望學長姐
235771786,2021-04-15T03:48:51.664Z,新的馬提咖啡,簡單一句不囉嗦，不行，和幾個朋友吃過所有主餐和飲料，又貴又不好吃，真的母湯，建議各位等個一個月再去嘗試
235771620,2021-04-15T03:19:47.396Z,協尋airpods,我的airpods不見了🥲 可能會掉在工院、學餐或掉在路上 希望有撿到的可以跟我說一聲
